year,sex,n,n_miss,age_mean,age_sd,cod
2006,M,11600,4,39.10434632631942,12.13638800621593,all_opioids
2007,All,18516,2,40.664848222966405,12.706730266685378,all_opioids
2007,F,6581,0,43.40556146482297,12.643694179315593,all_opioids
2007,M,11935,2,39.15335623900109,12.487114908029632,all_opioids
2008,All,19582,1,40.91231295643736,12.781603147761974,all_opioids
2008,F,6819,0,43.81096935034463,12.707182052876014,all_opioids
2008,M,12763,1,39.36350101864912,12.550172699668785,all_opioids
2009,All,20422,2,41.36875612144956,12.910055636207426,all_opioids
2009,F,7287,1,44.16936590721932,12.743491226117298,all_opioids
2009,M,13135,1,39.8151362874981,12.73919741420529,all_opioids
2010,All,21089,1,41.185982549317146,13.122725943573863,all_opioids
2010,F,7734,0,43.82648047582105,13.067744865783935,all_opioids
2010,M,13355,1,39.65673206529879,12.910293871344608,all_opioids
2011,All,22784,4,41.11000877963126,13.0523473004393,all_opioids
2011,F,8325,1,43.68416626621816,12.89262243370428,all_opioids
2011,M,14459,3,39.627767017155506,12.913120044028249,all_opioids
2012,All,23166,2,41.631108616819205,13.104883809919498,all_opioids
2012,F,8432,0,44.07092030360531,13.019968558586127,all_opioids
2012,M,14734,2,40.23465924518056,12.948427970654961,all_opioids
2013,All,25052,3,41.943231266717234,13.29233213904002,all_opioids
2013,F,9055,0,44.40242959690779,13.14367911588009,all_opioids
2013,M,15997,3,40.55095660872827,13.174188506942032,all_opioids
2014,All,28647,2,41.88832256938384,13.28186864219531,all_opioids
2014,F,10227,0,44.444020729441675,13.40572803283431,all_opioids
2014,M,18420,2,40.46921489846889,12.997740279265404,all_opioids
2015,All,33091,2,41.48572033001904,13.244108739726979,all_opioids
2015,F,11420,2,43.740760203187946,13.409612123814595,all_opioids
2015,M,21671,0,40.29758663651885,12.999971360198924,all_opioids
2016,All,42249,4,41.01131494851462,13.176642715535776,all_opioids
2016,F,13751,2,43.10509855262201,13.486415790209561,all_opioids
2016,M,28498,2,40.00108787198203,12.903843453215503,all_opioids
0,All,632014,143,42.63004790534777,13.45631567135034,all_drugs
0,F,236984,35,44.94827578930487,13.725442240280248,all_drugs
0,M,395030,108,41.23913582935364,13.096742899907241,all_drugs
1999,All,16812,16,41.587580376280066,12.965849685572435,all_drugs
1999,F,5576,6,43.99012567324955,14.823583734983776,all_drugs
1999,M,11236,10,40.395510422234096,11.757133772362629,all_drugs
2e3,All,17393,12,41.45026178010471,12.916965613126205,all_drugs
2e3,F,5843,1,44.028586100650465,14.372953364327982,all_drugs
2e3,M,11550,11,40.144899904671114,11.902838462891362,all_drugs
2001,All,19383,15,41.43071045022718,12.817837146358247,all_drugs
2001,F,6731,0,43.7914128658446,14.003667231769558,all_drugs
2001,M,12652,15,40.17330062514837,11.950741968138608,all_drugs
2002,All,23496,10,41.62603253001788,12.847213800511959,all_drugs
2002,F,8483,3,43.845518867924525,13.677582480013779,all_drugs
2002,M,15013,7,40.37178461948554,12.176150241173278,all_drugs
2003,All,25767,10,41.629887021004,12.793212270787981,all_drugs
2003,F,9377,1,43.85345563139932,13.408505352598828,all_drugs
2003,M,16390,9,40.357182101214825,12.247411646325151,all_drugs
2004,All,27414,10,41.730513793606775,12.929747443436733,all_drugs
2004,F,10299,5,44.0782008937245,13.396472171995992,all_drugs
